Transaction_ID,Date_Vente,Produit,Categorie,Quantite,Prix_Unitaire,Total_Vente,Client_ID,Region
TXN0001,2023-03-25,Téléphone,Électronique,4,200000,800000,CUST4561,Dakar
TXN0002,2023-03-12,Bureau ergonomique,Mobilier,5,120000,600000,CUST1176,Saint-Louis
TXN0003,2023-10-30,Montre connectée,Électronique,3,75000,225000,CUST1814,Saint-Louis
TXN0004,2023-06-08,Téléphone,Électronique,1,200000,200000,CUST9007,Kolda
TXN0005,2023-02-17,Ordinateur Portable,Électronique,1,350000,350000,CUST3849,Ziguinchor
TXN0006,2023-02-18,Clavier mécanique,Accessoires,3,50000,150000,CUST8249,Saint-Louis
TXN0007,2023-09-15,Chaussures de sport,Mode,1,40000,40000,CUST9060,Matam
TXN0008,2023-01-01,Sac à dos,Mode,1,15000,15000,CUST3309,Tambacounda
TXN0009,2023-05-25,Ordinateur Portable,Électronique,4,350000,1400000,CUST9050,Kolda
TXN0010,2023-10-15,Téléphone,Électronique,4,200000,800000,CUST3342,Dakar
TXN0011,2023-09-04,Téléphone,Électronique,5,200000,1000000,CUST5903,Thiès
TXN0012,2023-10-04,Montre connectée,Électronique,3,75000,225000,CUST9441,Saint-Louis
TXN0013,2023-04-09,Chaussures de sport,Mode,5,40000,200000,CUST7859,Kolda
TXN0014,2023-04-17,Bureau ergonomique,Mobilier,5,120000,600000,CUST5157,Thiès
TXN0015,2023-04-08,Télévision LED,Électronique,3,450000,1350000,CUST4220,Saint-Louis
TXN0016,2023-08-03,Bureau ergonomique,Mobilier,2,120000,240000,CUST7202,Kolda
TXN0017,2023-10-21,Télévision LED,Électronique,4,450000,1800000,CUST9443,Kaolack
TXN0018,2023-03-04,Sac à dos,Mode,5,15000,75000,CUST8228,Kolda
TXN0019,2023-08-06,Clavier mécanique,Accessoires,2,50000,100000,CUST9489,Ziguinchor
TXN0020,2023-12-16,Téléphone,Électronique,1,200000,200000,CUST6906,Ziguinchor
TXN0021,2023-11-15,Clavier mécanique,Accessoires,3,50000,150000,CUST3840,Saint-Louis
TXN0022,2023-10-03,Clavier mécanique,Accessoires,5,50000,250000,CUST2342,Saint-Louis
TXN0023,2023-01-03,Télévision LED,Électronique,3,450000,1350000,CUST4873,Kolda
TXN0024,2023-06-14,Casque Bluetooth,Accessoires,2,25000,50000,CUST5221,Kolda
TXN0025,2023-06-23,Casque Bluetooth,Accessoires,4,25000,100000,CUST7379,Matam
TXN0026,2023-11-09,Ordinateur Portable,Électronique,1,350000,350000,CUST4159,Kaolack
TXN0027,2023-06-16,Bureau ergonomique,Mobilier,3,120000,360000,CUST8962,Thiès
TXN0028,2023-04-10,Télévision LED,Électronique,1,450000,450000,CUST8747,Kolda
TXN0029,2023-06-03,Clavier mécanique,Accessoires,5,50000,250000,CUST1401,Tambacounda
TXN0030,2023-07-27,Télévision LED,Électronique,1,450000,450000,CUST6018,Saint-Louis
TXN0031,2023-12-08,Clavier mécanique,Accessoires,2,50000,100000,CUST4775,Thiès
TXN0032,2023-08-20,Clavier mécanique,Accessoires,3,50000,150000,CUST9406,Kaolack
TXN0033,2023-01-08,Casque Bluetooth,Accessoires,2,25000,50000,CUST4261,Thiès
TXN0034,2023-04-10,Chaussures de sport,Mode,3,40000,120000,CUST3828,Kaolack
TXN0035,2023-03-01,Ordinateur Portable,Électronique,1,350000,350000,CUST9325,Thiès
TXN0036,2023-01-21,Sac à dos,Mode,4,15000,60000,CUST2135,Tambacounda
TXN0037,2023-12-30,Livre de développement personnel,Livres,4,10000,40000,CUST1946,Saint-Louis
TXN0038,2023-05-28,Livre de développement personnel,Livres,4,10000,40000,CUST9996,Dakar
TXN0039,2023-01-02,Sac à dos,Mode,5,15000,75000,CUST9883,Tambacounda
TXN0040,2023-02-16,Sac à dos,Mode,5,15000,75000,CUST7722,Kaolack
TXN0041,2023-09-19,Livre de développement personnel,Livres,2,10000,20000,CUST3175,Saint-Louis
TXN0042,2023-05-22,Téléphone,Électronique,5,200000,1000000,CUST1599,Kaolack
TXN0043,2023-06-03,Bureau ergonomique,Mobilier,5,120000,600000,CUST5412,Dakar
TXN0044,2023-11-08,Livre de développement personnel,Livres,2,10000,20000,CUST1451,Kaolack
TXN0045,2023-04-17,Sac à dos,Mode,5,15000,75000,CUST9118,Ziguinchor
TXN0046,2023-07-02,Ordinateur Portable,Électronique,2,350000,700000,CUST2000,Matam
TXN0047,2023-08-01,Casque Bluetooth,Accessoires,3,25000,75000,CUST1891,Dakar
TXN0048,2023-02-01,Casque Bluetooth,Accessoires,4,25000,100000,CUST8881,Thiès
TXN0049,2023-08-07,Livre de développement personnel,Livres,1,10000,10000,CUST6511,Tambacounda
TXN0050,2023-07-13,Clavier mécanique,Accessoires,4,50000,200000,CUST7381,Dakar
TXN0051,2023-06-07,Sac à dos,Mode,1,15000,15000,CUST1279,Kolda
TXN0052,2023-08-18,Téléphone,Électronique,5,200000,1000000,CUST7381,Thiès
TXN0053,2023-03-22,Casque Bluetooth,Accessoires,2,25000,50000,CUST2803,Ziguinchor
TXN0054,2023-05-31,Téléphone,Électronique,3,200000,600000,CUST1474,Ziguinchor
TXN0055,2023-10-06,Chaussures de sport,Mode,5,40000,200000,CUST5776,Kolda
TXN0056,2023-04-30,Ordinateur Portable,Électronique,1,350000,350000,CUST9996,Saint-Louis
TXN0057,2023-12-12,Clavier mécanique,Accessoires,4,50000,200000,CUST9200,Tambacounda
TXN0058,2023-02-06,Casque Bluetooth,Accessoires,5,25000,125000,CUST2506,Kaolack
TXN0059,2023-11-09,Casque Bluetooth,Accessoires,2,25000,50000,CUST9658,Kaolack
TXN0060,2023-07-27,Bureau ergonomique,Mobilier,2,120000,240000,CUST5190,Kolda
TXN0061,2023-04-02,Sac à dos,Mode,1,15000,15000,CUST3154,Matam
TXN0062,2023-10-22,Téléphone,Électronique,5,200000,1000000,CUST3291,Thiès
TXN0063,2023-12-19,Clavier mécanique,Accessoires,1,50000,50000,CUST9738,Kaolack
